"id","name","city","departement_id:id","state_id:id","country_id/id"
"cza_fr_01273_01160","01160","NEUVILLE-SUR-AIN","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01304_01160","01160","PONT-D'AIN","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01314_01160","01160","PRIAY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01374_01160","01160","SAINT-MARTIN-DU-MONT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01430_01160","01160","VARAMBON","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01071_01170","01170","CESSY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01103_01170","01170","CHEVRY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01135_01170","01170","CROZET","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01153_01170","01170","ECHENEVEX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01173_01170","01170","GEX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01399_01170","01170","SEGNY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01436_01170","01170","VESANCY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01016_01190","01190","ARBIGNY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01050_01190","01190","BOISSEY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01057_01190","01190","BOZ","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01094_01190","01190","CHAVANNES-SUR-REYSSOUZE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01102_01190","01190","CHEVROUX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01175_01190","01190","GORREVOD","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01284_01190","01190","OZAN","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01305_01190","01190","PONT-DE-VAUX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01323_01190","01190","REYSSOUZE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01337_01190","01190","SAINT-BENIGNE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01352_01190","01190","SAINT-ETIENNE-SUR-REYSSOUZE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01402_01190","01190","SERMOYER","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01033_01200","01200","BELLEGARDE-SUR-VALSERINE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01044_01200","01200","BILLIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01091_01200","01200","CHATILLON-EN-MICHAILLE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01114_01200","01200","CONFORT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_74109_01200","01200","ELOISE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01189_01200","01200","INJOUX-GENISSIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01205_01200","01200","LANCRANS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01209_01200","01200","LEAZ","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01257_01200","01200","MONTANGES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01448_01200","01200","VILLES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01160_01210","01210","FERNEY-VOLTAIRE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01281_01210","01210","ORNEX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01435_01210","01210","VERSONNEX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01143_01220","01220","DIVONNE-LES-BAINS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01180_01220","01220","GRILLY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01397_01220","01220","SAUVERNY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01013_01230","01230","ARANDAS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01017_01230","01230","ARGIS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01076_01230","01230","CHALEY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01107_01230","01230","CLEYZIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01111_01230","01230","CONAND","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01155_01230","01230","EVOSGES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01277_01230","01230","NIVOLLET-MONTGRIFFON","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01279_01230","01230","ONCIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01384_01230","01230","SAINT-RAMBERT-EN-BUGEY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01416_01230","01230","TENAY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01421_01230","01230","TORCIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01069_01240","01240","CERTINES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01145_01240","01240","DOMPIERRE-SUR-VEYLE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01085_01240","01240","LA CHAPELLE-DU-CHATELARD","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01211_01240","01240","LENT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01235_01240","01240","MARLIEUX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01335_01240","01240","SAINT-ANDRE-LE-BOUCHOUX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01359_01240","01240","SAINT-GERMAIN-SUR-RENON","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01383_01240","01240","SAINT-PAUL-DE-VARAX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01245_01250","01250","BOHAS-MEYRIAT-RIGNAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01072_01250","01250","CEYZERIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01095_01250","01250","CHAVANNES-SUR-SURAN","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01106_01250","01250","CIZE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01125_01250","01250","CORVEISSIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01150_01250","01250","DROM","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01172_01250","01250","GERMAGNAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01177_01250","01250","GRAND-CORENT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01184_01250","01250","HAUTECOURT-ROMANECHE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01195_01250","01250","JASSERON","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01197_01250","01250","JOURNANS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01254_01250","01250","MONTAGNAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01309_01250","01250","POUILLAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01317_01250","01250","RAMASSE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01321_01250","01250","REVONNAS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01369_01250","01250","SAINT-JUST","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01408_01250","01250","SIMANDRE-SUR-SURAN","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01422_01250","01250","TOSSIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01447_01250","01250","VILLEREVERSURE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01036_01260","01260","BELMONT-LUTHEZIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01059_01260","01260","BRENAZ","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01079_01260","01260","CHAMPAGNE-EN-VALROMEY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01187_01260","01260","HOTONNES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01176_01260","01260","LE GRAND-ABERGEMENT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01292_01260","01260","LE PETIT-ABERGEMENT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01218_01260","01260","LOCHIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01221_01260","01260","LOMPNIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01330_01260","01260","RUFFIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01409_01260","01260","SONGIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01414_01260","01260","SUTRIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01442_01260","01260","VIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01453_01260","01260","VIRIEU-LE-PETIT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01029_01270","01270","BEAUPONT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01108_01270","01270","COLIGNY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01147_01270","01270","DOMSURE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01296_01270","01270","PIRAJOUX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01391_01270","01270","SALAVRE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01432_01270","01270","VERJON","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01445_01270","01270","VILLEMOTIER","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01313_01280","01280","PREVESSIN-MOENS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01042_01290","01290","BEY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01046_01290","01290","BIZIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01123_01290","01290","CORMORANCHE-SUR-SAONE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01134_01290","01290","CROTTET","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01136_01290","01290","CRUZILLES-LES-MEPILLAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01179_01290","01290","GRIEGES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01203_01290","01290","LAIZ","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01306_01290","01290","PONT-DE-VEYLE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01334_01290","01290","SAINT-ANDRE-D'HUIRIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01365_01290","01290","SAINT-JEAN-SUR-VEYLE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01006_01300","01300","AMBLEON","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01009_01300","01300","ANDERT-ET-CONDON","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01015_01300","01300","ARBIGNIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01034_01300","01300","BELLEY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01058_01300","01300","BREGNIER-CORDON","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01061_01300","01300","BRENS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01098_01300","01300","CHAZEY-BONS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01110_01300","01300","COLOMIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01116_01300","01300","CONTREVOZ","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01117_01300","01300","CONZIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01141_01300","01300","CUZIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01193_01300","01300","IZIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01227_01300","01300","MAGNIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01234_01300","01300","MARIGNIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01239_01300","01300","MASSIGNIEU-DE-RIVES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01268_01300","01300","MURS-ET-GELIGNIEUX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01271_01300","01300","NATTAGES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01286_01300","01300","PARVES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01294_01300","01300","PEYRIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01310_01300","01300","PREMEYZEL","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01338_01300","01300","SAINT-BENOIT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01340_01300","01300","SAINT-BOIS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01341_01300","01300","SAINT-CHAMP","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01358_01300","01300","SAINT-GERMAIN-LES-PAROISSES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01454_01300","01300","VIRIGNIN","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01065_01310","01310","BUELLAS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01115_01310","01310","CONFRANCON","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01140_01310","01310","CURTAFOND","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01259_01310","01310","MONTCET","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01264_01310","01310","MONTRACOL","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01301_01310","01310","POLLIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01375_01310","01310","SAINT-MARTIN-LE-CHATEL","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01385_01310","01310","SAINT-REMY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01074_01320","01320","CHALAMONT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01090_01320","01320","CHATENAY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01092_01320","01320","CHATILLON-LA-PALUD","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01129_01320","01320","CRANS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01381_01320","01320","SAINT-NIZIER-LE-DESERT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01449_01320","01320","VILLETTE-SUR-AIN","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01005_01330","01330","AMBERIEUX-EN-DOMBES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01045_01330","01330","BIRIEUX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01052_01330","01330","BOULIGNEUX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01207_01330","01330","LAPEYROUSE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01299_01330","01330","LE PLANTAY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01382_01330","01330","SAINTE-OLIVE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01434_01330","01330","VERSAILLEUX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01443_01330","01330","VILLARS-LES-DOMBES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01024_01340","01340","ATTIGNAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01040_01340","01340","BEREZIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01130_01340","01340","CRAS-SUR-REYSSOUZE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01154_01340","01340","ETREZ","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01163_01340","01340","FOISSIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01196_01340","01340","JAYAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01229_01340","01340","MALAFRETAZ","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01236_01340","01340","MARSONNAS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01266_01340","01340","MONTREVEL-EN-BRESSE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01346_01340","01340","SAINT-DIDIER-D'AUSSIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01387_01340","01340","SAINT-SULPICE","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01010_01350","01350","ANGLEFORT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01039_01350","01350","BEON","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01073_01350","01350","CEYZERIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01133_01350","01350","CRESSIN-ROCHEFORT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01138_01350","01350","CULOZ","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01162_01350","01350","FLAXIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01208_01350","01350","LAVOURS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01302_01350","01350","POLLIEU","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01456_01350","01350","VONGNES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01027_01360","01360","BALAN","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01032_01360","01360","BELIGNEUX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01062_01360","01360","BRESSOLLES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01224_01360","01360","LOYETTES","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01038_01370","01370","BENY","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01127_01370","01370","COURMANGOUX","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01241_01370","01370","MEILLONNAS","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01312_01370","01370","PRESSIAT","cza_fr_departement_01","state_fr_82","base.fr"
"cza_fr_01350_01370","01370","SAINT-ETIENNE-DU-BOIS","cza_fr_departement_01","state_fr_82","base.fr"
